model,run,accuracy,train_time,test_time
CNN,1,98.92,40.46123909950256,1.0744059085845947
CNN,1,98.89,40.33735942840576,1.0783300399780273
CNN,1,98.85,40.41721773147583,1.4551353454589844
CNN,1,98.61,40.34697437286377,1.093454122543335
CNN,1,98.78,39.64036154747009,1.0721771717071533
