model,run,accuracy,train_time,test_time
MLP,1,96.86,33.40720844268799,0.9837369918823242
MLP,1,96.81,35.8486590385437,1.1215245723724365
MLP,1,97.23,34.56452679634094,1.0244555473327637
MLP,1,96.9,35.391157388687134,1.0015413761138916
MLP,1,97.01,33.83181357383728,1.1343188285827637
