Model,Train Time Mean (s),Train Time Std (s),Test Time Mean (s),Test Time Std (s),Accuracy Mean (%),Accuracy Std (%)
MLP,34.60867304801941,1.0245515765585806,1.053115463256836,0.0699436242375119,96.96200000000002,0.16694310408040322
CNN,40.2406304359436,0.33942581102219704,1.154700517654419,0.1681531916174877,98.80999999999999,0.12349089035228486
MobileNetV2,519.9944179534912,23.31218785915519,30.498874282836915,0.377051267617504,95.84,0.15858751527153395
