model,run,accuracy,train_time,test_time
MobileNetV2,1,95.64,518.8389389514923,31.113178491592407
MobileNetV2,1,95.87,515.8265240192413,30.20114278793335
MobileNetV2,1,95.76,505.05396580696106,30.290690898895264
MobileNetV2,1,95.86,559.5082767009735,30.28121328353882
MobileNetV2,1,96.07,500.74438428878784,30.60814595222473
