model,run,accuracy,train_time,test_time
MLP_Q5,1,97.79,33.73529696,0.969363689
MLP_Q5,1,98.07,34.95541573,1.025792599
MLP_Q5,1,98.09,34.79877019,1.062660694
MLP_Q5,1,97.72,34.26228213,0.979038
MLP_Q5,1,98.09,34.57092738,1.351584673
