Model,Train Mean,Train Std,Test Mean,Test Std,Acc Mean,Acc Std
MLP_Q1,34.60867304801941,1.0245515765585806,1.053115463256836,0.0699436242375119,96.96200000000002,0.16694310408040322
CNN_Q1,40.2406304359436,0.33942581102219704,1.154700517654419,0.1681531916174877,98.80999999999999,0.12349089035228486
MobileNetV2_Q1,519.9944179534912,23.31218785915519,30.498874282836915,0.377051267617504,95.84,0.15858751527153395
MLP_CPU,53.143126487731934,,1.4173638820648191,,97.01,
CNN_CPU,272.2763431072235,,5.603815317153931,,98.93,
MobileNetV2_CPU,19462.93419075012,,862.3921220302582,,96.13,
MLP_Q4,34.98846688270569,0.25232568472409017,1.0145214557647706,0.02762595156584723,97.71399999999998,0.29279685790663934
MLP_Q5,34.464538477999994,0.4839139216295413,1.0776879310000003,0.15764225235056614,97.95200000000003,0.1817140610959969
MobileNetV2_Q6,1589.2569789409638,8.807333928641855,30.25699667930603,1.6565795040418827,99.40200000000002,0.15642889758609058
MobileNetV2_Q7,968.4445106983185,23.657026168442172,30.27518239021301,1.6285208279666747,99.172,0.15006665185843215
