Model,GPU Train Mean (s),CPU Train (s),GPU Test Mean (s),CPU Test (s),GPU Acc Mean (%),CPU Acc (%)
MLP,34.60867304801941,53.143126487731934,1.053115463256836,1.4173638820648191,96.96200000000002,97.01
CNN,40.2406304359436,272.2763431072235,1.154700517654419,5.603815317153931,98.80999999999999,98.93
MobileNetV2,519.9944179534912,19462.93419075012,30.498874282836915,862.3921220302582,95.84,96.13
