model,run,accuracy,train_time,test_time
MLP2_Q4,1,97.36,35.25597834587097,1.0538604259490967
MLP2_Q4,1,97.51,35.07278108596802,1.011305809020996
MLP2_Q4,1,97.9,35.00801467895508,1.029019832611084
MLP2_Q4,1,97.71,35.033713579177856,0.9879074096679688
MLP2_Q4,1,98.09,34.57184672355652,0.990513801574707
