model,run,accuracy,train_time,test_time
MobileNetV2_Q7_PARTIAL_FT,1,99.23,948.6534633636475,31.22691559791565
MobileNetV2_Q7_PARTIAL_FT,1,99.28,998.7548696994781,29.67234706878662
MobileNetV2_Q7_PARTIAL_FT,1,98.95,953.1140279769897,29.116788864135742
MobileNetV2_Q7_PARTIAL_FT,1,99.31,989.3111193180084,28.72166609764099
MobileNetV2_Q7_PARTIAL_FT,1,99.09,952.3890731334686,32.63819432258606
