model,run,accuracy,train_time,test_time
MobileNetV2_Q6_FULL_FT,1,99.56,1590.3487441539764,31.020113706588745
MobileNetV2_Q6_FULL_FT,1,99.15,1600.610673904419,27.712976932525635
MobileNetV2_Q6_FULL_FT,1,99.45,1576.158197402954,29.803839445114136
MobileNetV2_Q6_FULL_FT,1,99.37,1587.5358736515045,30.59243369102478
MobileNetV2_Q6_FULL_FT,1,99.48,1591.6314055919647,32.155619621276855
